tube_code,species_reported,Collection,Vitek,BMD,MALDI_report,MALDI_spot,MALDI_Hit_1,Read_loc,vitek_performed,loc_performed,read_1,read_2,R1_path,R2_path,AnalyteId,spot_dir,ProjectUid,ST
AH21I021,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A1,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I021_S1_L001_R1_001.fastq.gz,AH21I021_S1_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I021_S1_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I021_S1_L001_R2_001.fastq.gz,AH21I021,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/c756fe4e-8984-46ee-84fa-409b1f9b5405/0_A1,ba29fabd-6378-4af5-aa7e-34dd0beb2576,963
AH21I022,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A2,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I022_S2_L001_R1_001.fastq.gz,AH21I022_S2_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I022_S2_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I022_S2_L001_R2_001.fastq.gz,AH21I022,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/aafc62df-7a09-4b49-aed5-18a9ee96981d/0_A2,ba29fabd-6378-4af5-aa7e-34dd0beb2576,6998
AH21I028,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A3,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I028_S3_L001_R1_001.fastq.gz,AH21I028_S3_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I028_S3_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I028_S3_L001_R2_001.fastq.gz,AH21I028,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/c92b2eb0-572d-42a5-a3e3-3a02a0952059/0_A3,ba29fabd-6378-4af5-aa7e-34dd0beb2576,127
AH21I035,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A4,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I035_S4_L001_R1_001.fastq.gz,AH21I035_S4_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I035_S4_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I035_S4_L001_R2_001.fastq.gz,AH21I035,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/702242b9-1b89-437e-9dae-a90be220137d/0_A4,ba29fabd-6378-4af5-aa7e-34dd0beb2576,1139
AH21I037,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A5,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I037_S5_L001_R1_001.fastq.gz,AH21I037_S5_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I037_S5_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I037_S5_L001_R2_001.fastq.gz,AH21I037,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/e5e317dc-299a-4b28-b56b-95aceb1e7606/0_A5,ba29fabd-6378-4af5-aa7e-34dd0beb2576,95
AH21I040,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A6,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I040_S6_L001_R1_001.fastq.gz,AH21I040_S6_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I040_S6_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I040_S6_L001_R2_001.fastq.gz,AH21I040,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/408f5212-746d-4972-8da9-3722236e0354/0_A6,ba29fabd-6378-4af5-aa7e-34dd0beb2576,69
AH21I041,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A7,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I041_S7_L001_R1_001.fastq.gz,AH21I041_S7_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I041_S7_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I041_S7_L001_R2_001.fastq.gz,AH21I041,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/1b9da697-0f12-4b6d-ad07-9344bdcc6a82/0_A7,ba29fabd-6378-4af5-aa7e-34dd0beb2576,95
AH21I042,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A8,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I042_S195_L001_R1_001.fastq.gz,AH21I042_S195_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I042_S195_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I042_S195_L001_R2_001.fastq.gz,AH21I042,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/e8dc0827-b6fc-4dd4-baef-b475f9ad2462/0_A8,ba29fabd-6378-4af5-aa7e-34dd0beb2576,131
AH21I052,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A9,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I052_S192_L001_R1_001.fastq.gz,AH21I052_S192_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I052_S192_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I052_S192_L001_R2_001.fastq.gz,AH21I052,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/b3a8d5e2-a676-4263-a361-58a8cc3d09e6/0_A9,ba29fabd-6378-4af5-aa7e-34dd0beb2576,95
AH21I054,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A10,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I054_S8_L001_R1_001.fastq.gz,AH21I054_S8_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I054_S8_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I054_S8_L001_R2_001.fastq.gz,AH21I054,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/c032da51-8943-4c06-ad43-79c2ea2f7fa3/0_A10,ba29fabd-6378-4af5-aa7e-34dd0beb2576,95
AH21I055,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A11,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I055_S9_L001_R1_001.fastq.gz,AH21I055_S9_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I055_S9_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I055_S9_L001_R2_001.fastq.gz,AH21I055,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/e2ed4919-308d-4b62-a863-05d89a3e1492/0_A11,ba29fabd-6378-4af5-aa7e-34dd0beb2576,73
AH21I060,Escherichia coli,Sep21_Mar23,No,No,230329-1101-1011022437,A12,Escherichia coli,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7,No,0,AH21I060_S10_L001_R1_001.fastq.gz,AH21I060_S10_L001_R2_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I060_S10_L001_R1_001.fastq.gz,/mnt/vault2_mnhs_did_mgsr/vault/instruments/illumina/Novaseq_ACBD_2307111_SuperbugAi_novaseq7/AH21I060_S10_L001_R2_001.fastq.gz,AH21I060,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/8a47ee3a-e531-4afd-8087-c2c4bf6a1f02/0_A12,ba29fabd-6378-4af5-aa7e-34dd0beb2576,13707
